storeId,format,name,address,location,region,_REGION_ID_NUM
3188,ALVI,LA SERENA,AVENIDA 18 DE SEPTIEMBRE 4595,LA SERENA,COQUIMBO,4
724,UNIMARC,CARACOL,IGNACIO SERRANO 980,Tome,VIII Región del Bío-Bío,8
716,UNIMARC,LA VIOLETA,PEDRO AGUIRRE CERDA  602,Lota,VIII Región del Bío-Bío,8
763,UNIMARC,JUAN SOLER,AVDA JUAN SOLER MANFREDINI  51,Puerto Montt,X Región de Los Lagos,10
23,UNIMARC,LOS CARRERAS,LOS CARRERAS 479,Copiapo,III Región de Atacama,3
5,UNIMARC,LAS COMPAÑIAS,NICARAGUA  1571,La Serena,IV Región de Coquimbo,4
328,UNIMARC,GRAN AVENIDA I,AV JOSE MIGUEL CARRERA 5485,San Miguel,XIII Región Metropolitana,13
461,UNIMARC,ZENTENO AUSTRAL,CAPITAN GUILLERMO 05,Punta Arenas,XII Región de Magallanes y la Antártica Chilena,12
46,UNIMARC,CALAMA I,AV.GRANADEROS 3180,Calama,II Región de Antofagasta,2
464,UNIMARC,AGUIRRE CERDA AUSTRAL,AV.PEDRO AGUIRRE CERDA 413,Punta Arenas,XII Región de Magallanes y la Antártica Chilena,12
780,UNIMARC,VICTORIA,VICTORIA 367,Osorno,X Región de Los Lagos,10
441,UNIMARC,AYSEN,CARRERA 1500,Aysen,XI Región de Aysén del General Carlos Ibáñez del Campo,11
28,UNIMARC,PARQUE,AV. JOSE MIGUEL CARRERA 1527,Antofagasta,II Región de Antofagasta,2
474,UNIMARC,CHILLAN II,AVDA  5 DE ABRIL  754,Chillan,VIII Región del Bío-Bío,8
7,UNIMARC,VALLENAR I,BRASIL  663,Vallenar,III Región de Atacama,3
43,UNIMARC,BATUCO,AV. FRANCIA 640,Lampa,XIII Región Metropolitana,13
18,UNIMARC,EL SALVADOR,AV.BERNARDO O HIGGINS 115,Diego de Almagro,III Región de Atacama,3
458,UNIMARC,ESPAÑA AUSTRAL,AV. ESPAÑA 01375,Punta Arenas,XII Región de Magallanes y la Antártica Chilena,12
736,UNIMARC,EL VOLCAN,JUAN ANTONIO RIOS 3039,Coronel,VIII Región del Bío-Bío,8
36,UNIMARC,LAMPA,ARTURO PRAT  681,Lampa,XIII Región Metropolitana,13
14,UNIMARC,COPIAPO,AVDA HENRIQUEZ  523,Copiapo,III Región de Atacama,3
325,UNIMARC,IRARRAZAVAL,AV IRARRAZAVAL  4354,Ñuñoa,XIII Región Metropolitana,13
29,UNIMARC,GRAN VIA,AVDA. ANGAMOS 0159,Antofagasta,II Región de Antofagasta,2
85,UNIMARC,AMUNATEGUI,AMUNATEGUI  902,Iquique,I Región de Tarapacá,1
963,UNIMARC,FLORIDA,AV 18 DE SEP-AV LAS PARCELAS 5,La Serena,IV Región de Coquimbo,4
27,UNIMARC,PAMPINO,AV. SANTOS OSSA 2350,Antofagasta,II Región de Antofagasta,2
472,UNIMARC,CALDERA I,BATALLON ATACAMA 319,Caldera,III Región de Atacama,3
107,UNIMARC,BENAVENTE,BENAVENTE 221,Ovalle,IV Región de Coquimbo,4
395,UNIMARC,LAS PARCELAS,AVDA LAS PARCELAS  9001,Peñalolen,XIII Región Metropolitana,13
3,UNIMARC,OLMUE,DIEGO PORTALES  2090,Olmue,V Región de Valparaíso,5
105,UNIMARC,IQUIQUE CENTRO,TARAPACA  579,Iquique,I Región de Tarapacá,1
916,UNIMARC,PALOMA,VOLCAN PUNTIAGUDO 100,Puerto Montt,X Región de Los Lagos,10
24,UNIMARC,CHACABUCO,LOS CARRERAS  586,Copiapo,III Región de Atacama,3
50,UNIMARC,ILLAPEL I,CONSTITUCION 515,Illapel,IV Región de Coquimbo,4
