storeId,Formato,Nombre,address,comuna,region
112,OKM,OKM PLAZA EGAÑA,IRARRAZAVAL 5612,ÑUÑOA,RM - Santiago
113,OKM,OKM SAN FRANCISCO,"SAN FRANCISCO 521,(531-533),545",SANTIAGO,RM - Santiago
114,OKM,OKM LA CONCEPCION,"AV. LA CONCEPCION #145, LOCAL 3",PROVIDENCIA,RM - Santiago
116,OKM,OKM VECINAL,VECINAL 90 LOCAL 1A,LAS CONDES,RM - Santiago
119,OKM,OKM MIRAFLORES,MERCED #602,SANTIAGO,RM - Santiago
120,OKM,OKM REPUBLICA,REPUBLICA #48,SANTIAGO,RM - Santiago
121,OKM,OKM LUIS THAYER OJEDA,AV.PROVIDENCIA 2594 LOCAL 101 A,PROVIDENCIA,RM - Santiago
122,OKM,OKM LAS HUALTATAS,LUIS CARRERA 1330 LOCAL 4-5 Y 6,VITACURA,RM - Santiago
123,OKM,OKM FRANCISCO NOGUERA,NOGUERA 28 - 32 LOCALES 9 Y 10,PROVIDENCIA,RM - Santiago
125,OKM,OKM EL CONDOR,"SAN DIEGO, #369 LOCAL 1, #377 LOCAL 2",SANTIAGO,RM - Santiago
126,OKM,OKM PORTUGAL,PORTUGAL 277-279 LOCAL 2,SANTIAGO,RM - Santiago
127,OKM,OKM ROSARIO SUR,"AV. APOQUINDO 5681 LOCALES N° 93,94,127",LAS CONDES,RM - Santiago
128,OKM,OKM SIMON BOLIVAR,SIMON BOLIVAR 4800 LOCAL 101 Y 102,ÑUÑOA,RM - Santiago
129,OKM,OKM EXEQUIEL FERNANDEZ,EXEQUIEL FERNANDEZ 105-115,ÑUÑOA,RM - Santiago
131,OKM,OKM OFICINA CENTRAL,CERRO EL PLOMO 5680 PISO 11,LAS CONDES,RM - Santiago
133,OKM,OKM WARREN SMITH,WARREN SMITH  #28,LAS CONDES,RM - Santiago
134,OKM,OKM MORANDE,MORANDE 603 LOCAL 1,SANTIAGO,RM - Santiago
135,OKM,OKM SUCRE,AV. SALVADOR #1866,ÑUÑOA,RM - Santiago
136,OKM,OKM ELEUTERIO RAMIREZ,SAN FRANCISCO # 335,SANTIAGO,RM - Santiago
137,OKM,OKM JOSE DOMINGO CAÑAS,JOSE DOMINGO CAÑAS 2151,ÑUÑOA,RM - Santiago
138,OKM,OKM ALONSO DE CAMARGO,AV. HERNANDO DE MAGALLANES 1275-1279 LOCALES 1 Y 2,LAS CONDES,RM - Santiago
139,OKM,OKM CHACABUCO,AV. CHACABUCO #1238 LOCAL 101,CONCEPCION,VIII - Del  Bio-bio
140,OKM,OKM METRO PLAZA MAIPU,AV. PAJARITOS 1921,MAIPU,RM - Santiago
143,OKM,OKM SERRANO,SERRANO #294,SANTIAGO,RM - Santiago
144,OKM,OKM HERNANDO DE MAGALLANES,CRISTOBAL COLON 6560 LC 4 Y 5,LAS CONDES,RM - Santiago
145,OKM,OKM ABDON CIFUENTES,LIB.BERNARDO OHIGGINS #2168,SANTIAGO,RM - Santiago
146,OKM,OKM MARTIN DE ZAMORA,MARTÍN DE ZAMORA 5278,LAS CONDES,RM - Santiago
147,OKM,OKM ALMIRANTE PASTENE,ALMIRANTE PASTENE #185,PROVIDENCIA,RM - Santiago
148,OKM,OKM SOTERO DEL RIO,AV. SOTERO DEL RÍO 322,SANTIAGO,RM - Santiago
150,OKM,OKM LINCOYAN,O´HIGGINS #437,CONCEPCION,VIII - Del  Bio-bio
152,OKM,OKM PEDRO DE VALDIVIA,PEDRO DE VALDIVIA #3774,PROVIDENCIA,RM - Santiago
153,OKM,OKM MALL PLAZA OESTE,AMÉRICO VESPUCIO 1501 LOCAL 2081,MAIPU,RM - Santiago
