storeId,Formato,Nombre,address,comuna,region
3,UNIMARC,UNIMARC OLMUÉ,PORTALES 2090,OLMUE,V - Valparaiso
5,UNIMARC,UNIMARC LAS COMPAÑIAS,NICARAGUA 1571,LA SERENA,IV - Coquimbo
6,UNIMARC,UNIMARC SINDEMPART,AVDA. EL SAUCE 981,COQUIMBO,IV - Coquimbo
7,UNIMARC,UNIMARC VALLENAR I,BRAZIL 663,VALLENAR,III - Atacama
8,UNIMARC,UNIMARC RECOVA,BRASIL #715,LA SERENA,IV - Coquimbo
9,UNIMARC,UNIMARC COQUIMBO,VARELA 1480,COQUIMBO,IV - Coquimbo
10,UNIMARC,UNIMARC TIL TIL,ARTURO PRAT 295,TIL TIL,RM - Santiago
11,UNIMARC,UNIMARC ALTO PEÑUELAS,ALESSANDRI 531,COQUIMBO,IV - Coquimbo
12,UNIMARC,UNIMARC CISTERNAS,REINALDO BOLTZ 1950,LA SERENA,IV - Coquimbo
13,UNIMARC,UNIMARC LA TORRE,CARLOS PEZOA VÉLIZ 10-22,ANTOFAGASTA,II - Antofagasta
14,UNIMARC,UNIMARC COPIAPÓ,HENRIQUEZ 523,COPIAPO,III - Atacama
16,UNIMARC,UNIMARC VALLENAR II,PRAT 2350,VALLENAR,III - Atacama
17,UNIMARC,UNIMARC LOS ALAMOS,LOS ALAMOS 580,COQUIMBO,IV - Coquimbo
18,UNIMARC,UNIMARC EL SALVADOR,AV  BERNARDO OHIGGINS 115,EL SALVADOR,III - Atacama
19,UNIMARC,UNIMARC BONILLA,HUAMACHUCO 8481,ANTOFAGASTA,II - Antofagasta
20,UNIMARC,UNIMARC BARQUITO,GABRIELA MISTRAL S/N,CHAÑARAL,III - Atacama
21,UNIMARC,UNIMARC TANGUE,TANGUE 36,OVALLE,IV - Coquimbo
22,UNIMARC,UNIMARC ATACAMA,LOS CARRERAS 2242,COPIAPO,III - Atacama
23,UNIMARC,UNIMARC LOS CARRERA,LOS CARRERAS 479,COPIAPO,III - Atacama
24,UNIMARC,UNIMARC CHACABUCO,LOS CARRERAS 586,COPIAPO,III - Atacama
25,UNIMARC,UNIMARC EL PALOMAR,PALOMAR 1525,COPIAPO,III - Atacama
26,UNIMARC,UNIMARC SANTOS OSSA,JOSÉ SANTOS OSSA 2421,ANTOFAGASTA,II - Antofagasta
27,UNIMARC,UNIMARC PAMPINO,JOSÉ SANTOS OSSA 2350,Antofagasta,II - Antofagasta
28,UNIMARC,UNIMARC PARQUE,JOSÉ MIGUEL CARRERA 1527,ANTOFAGASTA,II - Antofagasta
29,UNIMARC,UNIMARC GRAN VIA,AVENIDA ANGAMOS 0159,ANTOFAGASTA,II - Antofagasta
30,UNIMARC,UNIMARC BALMACEDA,BALMACEDA 1350,LA SERENA,IV - Coquimbo
32,UNIMARC,UNIMARC CHAÑARCILLO,CHACABUCO 231,COPIAPO,III - Atacama
33,UNIMARC,UNIMARC COVIEFI,AVENIDA ARGENTINA 01910,ANTOFAGASTA,II - Antofagasta
34,UNIMARC,UNIMARC LA CHIMBA,PEDRO AGUIRRE CERDA. 8700,ANTOFAGASTA,II - Antofagasta
35,UNIMARC,UNIMARC CURACAVÍ I,AMB. O'HIGGINS 1910,CURACAVÍ,RM - Santiago
36,UNIMARC,UNIMARC LAMPA,ARTURO PRAT 681,LAMPA,RM - Santiago
41,UNIMARC,UNIMARC IGNACIO CARRERA PINTO,CAPITAN IGNACIO CARRERA PINTO 3857,SANTIAGO,RM - Santiago
43,UNIMARC,UNIMARC BATUCO,AVDA. FRANCIA 640,LAMPA,RM - Santiago
44,UNIMARC,UNIMARC LAS REJAS,LAS REJAS SUR 1279,SANTIAGO,RM - Santiago
45,UNIMARC,UNIMARC 2° TRANVERSAL,SEGUNDA TRANSVERSAL. 4090,SANTIAGO,RM - Santiago
46,UNIMARC,UNIMARC CALAMA I,AVENIDA GRANADEROS 3180,CALAMA,II - Antofagasta
47,UNIMARC,UNIMARC PLAZA,IGNACIO CARRERA PINTO 909,ANTOFAGASTA,II - Antofagasta
